@relation c_dataset_20

@attribute class {benign,malware}
@attribute error_reporting numeric
@attribute set_magic_quotes_runtime numeric
@attribute stripslashes numeric
@attribute exit numeric
@attribute htmlspecialchars numeric
@attribute print_r numeric
@attribute sizeof numeric
@attribute explode numeric
@attribute phpinfo numeric
@attribute getenv numeric
@attribute php_uname numeric
@attribute str_replace numeric
@attribute ex numeric
@attribute join numeric
@attribute perms numeric
@attribute sprintf numeric
@attribute which numeric
@attribute cf numeric
@attribute sr numeric
@attribute view_size numeric
@attribute getmicrotime numeric
@attribute list numeric
@attribute echo numeric
@attribute empty numeric
@attribute base64_decode numeric
@attribute fclose numeric
@attribute print numeric
@attribute stat numeric
@attribute date numeric
@attribute printf numeric
@attribute mssql_query numeric
@attribute addslashes numeric
@attribute is_dir numeric
@attribute reset numeric
@attribute each numeric
@attribute urlencode numeric
@attribute phpversion numeric
@attribute usort numeric
@attribute intval numeric
@attribute exec numeric
@attribute substr numeric
@attribute strrpos numeric
@attribute strpos numeric
@attribute mkdir numeric
@attribute realpath numeric
@attribute fopen numeric
@attribute rmdir numeric
@attribute readdir numeric
@attribute unlink numeric
@attribute fwrite numeric
@attribute chdir numeric
@attribute isset numeric
@attribute unset numeric
@attribute urldecode numeric
@attribute system numeric
@attribute basename numeric
@attribute closedir numeric
@attribute tempnam numeric
@attribute strtolower numeric
@attribute opendir numeric
@attribute copy numeric
@attribute array_merge numeric
@attribute flush numeric
@attribute setcookie numeric
@attribute htmlentities numeric
@attribute filemtime numeric
@attribute ini_set numeric
@attribute ziparchive numeric
@attribute recursiveiteratoriterator numeric
@attribute recursivedirectoryiterator numeric
@attribute file_get_contents numeric
@attribute getcwd numeric
@attribute strlen numeric
@attribute rand numeric
@attribute mail numeric
@attribute ini_restore numeric
@attribute include numeric
@attribute fileperms numeric
@attribute shell_exec numeric
@attribute popen numeric
@attribute function_exists numeric
@attribute fread numeric
@attribute fgets numeric
@attribute pclose numeric
@attribute ob_start numeric
@attribute ob_get_contents numeric
@attribute ob_end_clean numeric
@attribute passthru numeric
@attribute proc_open numeric
@attribute return numeric
@attribute mysql_connect numeric
@attribute mysql_error numeric
@attribute mysql_query numeric
@attribute move_uploaded_file numeric
@attribute fsockopen numeric
@attribute fputs numeric
@attribute time numeric
@attribute base64_encode numeric
@attribute eval numeric
@attribute filesize numeric
@attribute define numeric
@attribute dirname numeric
@attribute split numeric
@attribute md5 numeric
@attribute array_flip numeric
@attribute ini_get numeric
@attribute getelementbyid numeric
@attribute mysql_select_db numeric
@attribute mysql_num_rows numeric
@attribute mysql_fetch_assoc numeric
@attribute array_push numeric
@attribute mysql_fetch_row numeric
@attribute ceil numeric
@attribute mysql_list_dbs numeric
@attribute mysql_close numeric
@attribute implode numeric
@attribute array_pop numeric
@attribute scandir numeric
@attribute chmod numeric
@attribute preg_replace numeric
@attribute pack numeric
@attribute ord numeric
@attribute touch numeric
@attribute crc32 numeric
@attribute gzcompress numeric
@attribute ob_get_clean numeric
@attribute glob numeric
@attribute mysql_fetch_array numeric
@attribute array_keys numeric
@attribute array_map numeric
@attribute array_values numeric
@attribute values numeric
@attribute chr numeric
@attribute is_array numeric
@attribute file numeric
@attribute mysql_get_server_info numeric
@attribute set_time_limit numeric
@attribute class_exists numeric
@attribute parse_url numeric
@attribute is_numeric numeric
@attribute gethostbyname numeric
@attribute strip_tags numeric
@attribute sleep numeric
@attribute send numeric
@attribute function numeric
@attribute submit numeric
@attribute get_magic_quotes_gpc numeric
@attribute gzinflate numeric
@attribute rtrim numeric
@attribute posix_getpwuid numeric
@attribute posix_getgrgid numeric
@attribute get_current_user numeric
@attribute posix_kill numeric
@attribute ob_clean numeric
@attribute getimagesize numeric
@attribute readfile numeric
@attribute rename numeric
@attribute mysql_num_fields numeric
@attribute proc_close numeric
@attribute wordwrap numeric
@attribute nl2br numeric
@attribute init numeric
@attribute focus numeric
@attribute microtime numeric
@attribute get_cfg_var numeric
@attribute getpath numeric
@attribute checkall numeric
@attribute base_convert numeric
@attribute strtotime numeric
@attribute com numeric
@attribute var_dump numeric
@attribute alert numeric
@attribute ob_end_flush numeric
@attribute number_format numeric
@attribute second numeric
@attribute deltree numeric
@attribute getdate numeric
@attribute dechex numeric
@attribute mysql_free_result numeric
@attribute url numeric
@attribute set numeric
@attribute xmlhttprequest numeric
@attribute activexobject numeric
@attribute open numeric
@attribute is_writable numeric
@attribute serialize numeric
@attribute mysql_get_client_info numeric
@attribute is_file numeric
@attribute clearstatcache numeric
@attribute addcslashes numeric
@attribute push numeric
@attribute readlink numeric
@attribute strtoupper numeric
@attribute curl_init numeric
@attribute curl_exec numeric
@attribute connect numeric
@attribute query numeric
@attribute error numeric
@attribute load_file numeric
@attribute dump numeric
@attribute is numeric
@attribute user numeric
@attribute call_user_func numeric
@attribute write numeric
@attribute gmdate numeric
@attribute ob_flush numeric
@attribute bin2hex numeric
@attribute in_array numeric
@attribute array_search numeric
@attribute array_unshift numeric
@attribute str_repeat numeric
@attribute preg_match_all numeric
@attribute preg_match numeric
@attribute preg_split numeric
@attribute file_exists numeric
@attribute is_readable numeric
@attribute strips numeric
@attribute close numeric
@attribute unserialize numeric
@attribute array_unique numeric
@attribute ltrim numeric
@attribute ereg numeric
@attribute disk_free_space numeric
@attribute disk_total_space numeric
@attribute confirm numeric
@attribute mysql_list_tables numeric
@attribute table numeric
@attribute mysql_field_name numeric
@attribute fileowner numeric
@attribute filegroup numeric
@attribute select numeric
@attribute convert_cyr_string numeric
@attribute array_reverse numeric
@attribute array_slice numeric
@attribute md5_file numeric
@attribute chunk_split numeric
@attribute highlight_file numeric
@attribute pathinfo numeric
@attribute prompt numeric
@attribute is_object numeric
@attribute array_shift numeric
@attribute curl_setopt numeric
@attribute file_put_contents numeric
@attribute array_filter numeric
@attribute array_diff numeric
@attribute replace numeric
@attribute json_decode numeric
@attribute array_key_exists numeric
@attribute is_callable numeric
@attribute is_string numeric
@attribute update numeric
@attribute ksort numeric
@attribute is_null numeric
@attribute get_post numeric
@attribute get numeric
@attribute stdclass numeric
@attribute register numeric
@attribute defined numeric
@attribute get_object_vars numeric
@attribute wp_error numeric
@attribute add_filter numeric
@attribute do_action numeric
@attribute remove_filter numeric
@attribute get_option numeric
@attribute apply_filters numeric
@attribute register_rest_route numeric
@attribute register_routes numeric
@attribute get_items_permissions_check numeric
@attribute get_items numeric
@attribute get_item_permissions_check numeric
@attribute get_item numeric
@attribute prepare_item_for_response numeric
@attribute get_item_schema numeric
@attribute get_collection_params numeric
@attribute rest_is_field_included numeric
@attribute is_wp_error numeric
@attribute trailingslashit numeric
@attribute esc_url numeric
@attribute admin_url numeric
@attribute update_option numeric
@attribute self_admin_url numeric
@attribute get_site_option numeric
@attribute get_instance numeric
@attribute rest_authorization_required_code numeric
@attribute current_user_can numeric
@attribute absint numeric
@attribute rest_ensure_response numeric
@attribute add_query_arg numeric
@attribute rest_url numeric
@attribute get_current_user_id numeric
@attribute wp_get_current_user numeric
@attribute wp_slash numeric
@attribute get_post_type_object numeric
@attribute wp_parse_args numeric
@attribute esc_html numeric
@attribute wp_redirect numeric
@attribute add_action numeric
@attribute wp_get_theme numeric
@attribute current_theme_supports numeric
@attribute esc_attr numeric
@attribute is_multisite numeric
@attribute get_bloginfo numeric
@attribute sanitize_text_field numeric
@attribute get_current_screen numeric
@attribute wp_enqueue_script numeric
@attribute wp_json_encode numeric
@attribute wp_cache_get numeric
@attribute wp_die numeric
@attribute wp_nonce_url numeric
@attribute wp_unslash numeric
@attribute esc_attr_e numeric
@attribute get_userdata numeric
@attribute get_permalink numeric
@attribute submit_button numeric
@attribute number_format_i18n numeric
@attribute get_post_types numeric
@attribute compact numeric
@attribute wp_create_nonce numeric
@attribute wp_nonce_field numeric
@attribute wp_list_pluck numeric
@attribute checked numeric
@attribute wp_enqueue_style numeric
@attribute home_url numeric
@attribute set_url_scheme numeric

@data
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,5,1,2,5,15,1,3,2,3,2,0,2,18,1,3,4,11,8,158,3,2,3,0,0,4,2,0,1,5,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,3,5,0,0,1,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,1,1,2,2,13,1,1,1,2,2,1,2,21,1,2,4,10,7,59,3,2,1,2,3,2,2,1,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,12,18,0,0,0,0,0,2,3,0,8,0,0,0,0,0,0,3,4,0,0,5,11,0,0,0,5,2,0,0,2,1,1,3,0,0,3,1,0,0,0,5,0,2,0,0,0
malware,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,1,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,6,0,1,5,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,5,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
